class	num	num	num	num	num	comment   	
25	4	140.0	78.00	2592	18.5	pontiac astro	
25	4	97.50	80.00	2126	17.0	dodge colt hardtop	
25	4	156.0	105.0	2745	16.7	plymouth sapporo	
25	4	140.0	92.00	2572	14.9	capri ii	
25	4	134.0	96.00	2702	13.5	toyota corona	
25	4	101.0	83.00	2202	15.3	renault 12tl	
25	8	350.0	125.0	3900	17.4	cadillac eldorado	
25	6	181.0	110.0	2945	16.4	buick century limited	
20	6	225.0	100.0	3651	17.7	dodge aspen se	
20	6	250.0	100.0	3282	15.0	pontiac firebird	
20	8	318.0	140.0	3735	13.2	dodge diplomat	
20	6	258.0	95.00	3193	17.8	amc pacer d/l	
20	6	231.0	110.0	3415	15.8	buick century	
20	6	155.0	107.0	2472	14.0	mercury capri v6	
20	4	121.0	98.00	2945	14.5	volvo 244dl	
20	8	262.0	110.0	3221	13.5	chevrolet monza 2+2	
20	5	131.0	103.0	2830	15.9	audi 5000	
20	6	225.0	110.0	3360	16.6	dodge aspen 6	
35	4	98.00	70.00	2125	17.3	mercury lynx l	
35	4	151.0	90.00	2556	13.2	pontiac phoenix	
35	4	97.00	67.00	2145	18.0	subaru dl	
35	4	108.0	70.00	2245	16.9	toyota corolla	
40	4	91.00	67.00	1965	15.0	honda civic	
30	4	156.0	105.0	2800	14.4	dodge colt	
30	4	97.00	75.00	2155	16.4	toyota corolla	
30	4	151.0	90.00	2670	16.0	buick skylark limited	
30	4	144.0	96.00	2665	13.9	toyota celica gt	
30	4	107.0	72.00	2290	17.0	honda accord	
30	4	68.00	49.00	1867	19.5	fiat 128	
10	8	360.0	215.0	4615	14.0	ford f250	
45	4	90.00	48.00	1985	21.5	volkswagen rabbit custom diesel	
15	8	350.0	155.0	4360	14.9	buick estate wagon (sw)	
15	8	305.0	130.0	3840	15.4	chevrolet caprice classic	
15	8	400.0	150.0	3761	9.5	chevrolet monte carlo	
15	8	318.0	150.0	4237	14.5	plymouth fury gran sedan	
15	8	304.0	150.0	3892	12.5	amc matador (sw)	
15	8	351.0	138.0	3955	13.2	mercury grand marquis	
15	8	390.0	190.0	3850	8.5	amc ambassador dpl	
15	8	455.0	225.0	3086	10.0	buick estate wagon (sw)	
15	6	225.0	105.0	3439	15.5	plymouth satellite custom	
