class	num	num	num	num	num	comment	
25	4	97.50	80.00	2126	17.0	dodge colt hardtop	
25	4	113.0	95.00	2372	15.0	toyota corona mark ii	
25	4	120.0	97.00	2489	15.0	honda civic	
25	4	121.0	80.00	2670	15.0	amc spirit dl	
25	4	110.0	87.00	2672	17.5	peugeot 504	
25	6	232.0	90.00	3085	17.6	amc hornet	
25	4	140.0	88.00	2720	15.4	ford fairmont (man)	
20	6	258.0	110.0	2962	13.5	amc hornet sportabout (sw)	
20	4	122.0	86.00	2395	16.0	ford pinto (sw)	
20	6	250.0	110.0	3520	16.4	chevrolet concours	
20	8	318.0	140.0	4080	13.7	dodge magnum xe	
20	6	250.0	88.00	3021	16.5	ford maverick	
20	4	140.0	90.00	2408	19.5	chevrolet vega	
20	6	231.0	105.0	3535	19.2	pontiac phoenix lj	
20	6	225.0	95.00	3785	19.0	plymouth fury	
20	6	200.0	95.00	3155	18.2	chevrolet malibu	
35	4	105.0	74.00	2190	14.2	volkswagen jetta	
35	4	79.00	58.00	1825	18.6	renault 5 gtl	
35	4	105.0	74.00	1980	15.3	volkswagen rabbit l	
40	4	91.00	67.00	1965	15.0	honda civic	
30	4	120.0	75.00	2542	17.5	mazda 626	
30	4	107.0	86.00	2464	15.5	fiat 131	
30	4	151.0	90.00	2678	16.5	chevrolet citation	
30	4	134.0	90.00	2711	15.5	toyota corona liftback	
30	4	97.00	78.00	2190	14.1	volkswagen dasher	
30	4	108.0	75.00	2350	16.8	toyota corolla	
10	8	350.0	180.0	3664	11.0	oldsmobile omega	
15	8	350.0	175.0	4100	13.0	buick century 350	
15	6	168.0	120.0	3820	16.7	mercedes-benz 280s	
15	8	400.0	150.0	4464	12.0	chevrolet caprice classic	
15	8	260.0	110.0	4060	19.0	oldsmobile cutlass supreme	
15	8	302.0	140.0	4294	16.0	ford gran torino (sw)	
15	8	350.0	150.0	4699	14.5	buick century luxus (sw)	
15	8	350.0	155.0	4360	14.9	buick estate wagon (sw)	
15	8	351.0	158.0	4363	13.0	ford ltd	
